"Althea Press","Althea Press","","Althea"
"Andrews McMeel Publishing","Andrews McMeel"
"Angry Robot","Angry Robot"
"Tom Doherty Associates","Tom Doherty","A Tom Doherty Associates Book"
"Atria Books","Atria Books"
"Aurum Press","Aurum Press","White Lion 1 (Aurum Press)"
"Ballantine Books","Ballantine Books"
"Berrett-Koehler Publishers","Berrett-Koehler"
"Big Mouth House","Big Mouth House"
"Callisto Media","Callisto","Callisto_Media"
"Chronicle Books","Chronicle Books","Chronicle Prism"
"Conlan Press","Conlan Press"
"CRC Press","CRC Press"
"Self-Published","David Pallai","Dominic Shakeshaft","George C. Clason","Praful Palekar","Will Budiaman","William Pollock"
"Distributed Proofreaders Canada","Distributed Proofreaders Canada"
"Fair Winds Press","Fair Winds"
"Feedbooks","Feedbooks"
"Financial Awareness Corporation","Financial Awareness"
"General Press","GENERAL PRESS"
"Good Books","Good Books"
"Ivy Press","Ivy Press"
"Jacqui Small","Jacqui Small"
"Wiley","John Wiley","Wiley Publishing"
"Leaping Hare Press","Leaping Hare"
"Machines of Death","Machines of Death"
"Maker Media","Maker Media","Make"
"Mercury Learning and Information","Mercury Learning"
"Microcosm Publishing","Microcosm"
"New Harbinger Publications","New Harbinger"
"Night Shade Books","Night Shade"
"No Starch Press","No Starch"
"O'Reilly Media","O'Reilly","O’Reilly"
"Packt Publishing","Packt","Paclt"
"Penguin Publishing Group","Penguin Publishing"
"Perseus Books Group","Perseus"
"Quarry Books","Quarry"
"Racehorse Publishing","Racehorse"
"Random House Publishing Group","Random House"
"Riverhead Books","Riverhead"
"Rock Point","Rock Point"
"Rockridge Press","Rockridge"
"RosettaBooks","RosettaBooks"
"Running Press","Running Press"
"Sasquatch Books","Sasquatch"
"Simon & Schuster","Simon & Schuster"
"Skyhorse Publishing","Skyhorse"
"Small Beer Press","Small Beer"
"Sonoma Press","Sonoma"
"The Quarto Group","Quarto Group"
"Touchstone","Touchstone"
"Tycho Press","Tycho"
"Voyageur Press","Voyageur"
"Walter Foster Publishing","Walter Foster"
"Weldon Owen","weldonowen","Weldonowen"
"Wellfleet Press","Wellfleet"
"White Lion Publishing","White Lion"
"Zephyros Press","Zephyros"
"Zondervan","Zondervan"
"Unknown Publisher","pdf","Acrobat","Adobe","calibre","iText","macOS","Mac OS","null","N/A","None","publisher"
